"Time","Day","Month","Year","temp_C","temp_F","dew","humidity","sealevelpressure","winddir","solarradiation","windspeed","precipprob","preciptype"
1,1,1,2016,28.4,83.12,11.9,37.8,1016.4,147.5,216.1,16.6,0,0
2,2,1,2016,26.8,80.24,13,44.8,1017.2,110.3,215.7,16.6,0,0
3,3,1,2016,25.5,77.9,14.6,52.8,1015.7,145.3,221.1,18.4,0,0
4,4,1,2016,26.4,79.52,13.1,46.6,1015.3,126.9,216.2,16.6,0,0
5,5,1,2016,27.1,80.78,13.5,44.9,1014.4,125.5,208.1,16.6,0,0
6,6,1,2016,26.9,80.42,14.3,48.2,1014.2,110.2,200.8,14.8,0,0
7,7,1,2016,26.1,78.98,17,58,1015.1,149.4,189.9,15.8,0,0
8,8,1,2016,26.6,79.88,16.5,55.2,1015.4,157.7,185,13,0,0
9,9,1,2016,26.3,79.34,13.5,47.6,1013.8,117.5,203.1,16.6,0,0
10,10,1,2016,26,78.8,12.5,45.3,1014.2,124.7,203.7,16.6,0,0
11,11,1,2016,26.1,78.98,14.6,50.4,1014.3,153.7,212.6,24.1,0,0
12,12,1,2016,25.1,77.18,17.5,64.5,1013.1,200.7,201.9,16.6,0,0
13,13,1,2016,24.6,76.28,17,64,1012.5,195.6,211.4,16.6,0,0
14,14,1,2016,23.9,75.02,16.5,64.2,1012.6,158.4,209.6,25.9,0,0
15,15,1,2016,23.6,74.48,16.3,64.8,1012.3,193.9,210.8,16.6,0,0
16,16,1,2016,24.1,75.38,15.7,60.7,1011.8,162.5,201.5,13,100,1
17,17,1,2016,24,75.2,14.7,58.3,1011.6,154.6,187.2,16.6,0,0
18,18,1,2016,23.7,74.66,14.4,58.2,1011.2,141.4,220.5,16.6,0,0
19,19,1,2016,23.5,74.3,10.3,45.8,1012.1,180.5,228,20.5,0,0
20,20,1,2016,23.2,73.76,8.6,41.5,1014,155.7,239.6,32.4,0,0
21,21,1,2016,23.9,75.02,9.2,41.5,1014.5,120.7,232.8,18.4,0,0
22,22,1,2016,25.6,78.08,7.2,32.2,1014.5,128.9,234.9,18.4,0,0
23,23,1,2016,25.9,78.62,9.1,36.4,1014.5,115,224.2,18.4,0,0
24,24,1,2016,26.7,80.06,11.2,39.8,1014.5,172.7,220.8,18.4,0,0
25,25,1,2016,25.2,77.36,11.7,45.3,1013.7,166.1,242.7,18.4,0,0
26,26,1,2016,23.8,74.84,12,49.7,1013.4,174.1,239.5,22.3,0,0
27,27,1,2016,23.7,74.66,16.1,64.4,1013.8,208.5,240.8,18.4,0,0
28,28,1,2016,25.1,77.18,15.4,57,1013.2,165.7,240.4,14.8,0,0
29,29,1,2016,26.5,79.7,16.6,57.2,1014.2,155.9,237.3,18.4,0,0
30,30,1,2016,26.8,80.24,17.9,59.5,1014.2,230.7,235.6,16.6,0,0
31,31,1,2016,26.4,79.52,18.3,62.3,1013.3,163.8,233.9,16.6,0,0
32,1,2,2016,26.5,79.7,17.5,59.9,1014.1,193.7,231.2,18.4,0,0
33,2,2,2016,26.7,80.06,15.7,53,1014.2,247.5,244.9,16.6,0,0
34,3,2,2016,25.7,78.26,13.7,49.9,1013.9,184.3,257.1,16.6,0,0
35,4,2,2016,24.6,76.28,14.6,55.4,1013.1,164.6,252,22.3,0,0
36,5,2,2016,24.1,75.38,18,69.7,1012,173.6,237.6,22,0,0
37,6,2,2016,23.6,74.48,16.5,66.5,1012,203.5,241.4,16.6,0,0
38,7,2,2016,24,75.2,16.6,64.2,1014.5,247,231.7,20.5,0,0
39,8,2,2016,24,75.2,16.6,64.4,1013.2,172.1,251.7,18.4,0,0
40,9,2,2016,25.5,77.9,18.6,67.2,1012,173.5,230.1,18.4,0,0
41,10,2,2016,25.9,78.62,17.4,62.9,1011.9,183.5,229,18.4,0,0
42,11,2,2016,24.6,76.28,18.8,71,1012.5,232.3,251.2,20.5,0,0
43,12,2,2016,23.8,74.84,17.1,67.8,1013,189.1,252.4,20.5,0,0
44,13,2,2016,23.8,74.84,16,62.6,1013.6,179.3,257.2,18.4,0,0
45,14,2,2016,24.8,76.64,12.7,50.3,1012.7,178.1,253.1,24.1,0,0
46,15,2,2016,25.3,77.54,11.6,43.5,1012.7,234.5,236.8,18.4,0,0
47,16,2,2016,26,78.8,16,56.4,1012.5,208.8,237.5,18.4,0,0
48,17,2,2016,26,78.8,20.9,75,1013,183.5,209.6,24.1,0,0
49,18,2,2016,26.5,79.7,18.9,64.4,1012.4,157.4,238.8,22.3,0,0
50,19,2,2016,26.6,79.88,20.5,69.9,1014.3,215.4,237.1,18.4,0,0
51,20,2,2016,27.6,81.68,19,60.4,1014.2,216.5,162.8,20.5,0,0
52,21,2,2016,28.2,82.76,14.9,46.3,1013.3,234.9,231.8,18.4,0,0
53,22,2,2016,27.4,81.32,9.4,34.3,1013.6,253.2,268.4,22.3,0,0
54,23,2,2016,26,78.8,16.3,57,1011.3,199.3,260.7,20.5,0,0
55,24,2,2016,25.7,78.26,21,76.3,1011.3,180.1,261.5,25.9,0,0
56,25,2,2016,25.9,78.62,19.4,69.5,1012.2,171.8,214.7,18.4,0,0
57,26,2,2016,26.3,79.34,19.6,68.4,1013.1,152.7,230.5,20.5,0,0
58,27,2,2016,27.6,81.68,20.5,67.8,1012.9,153.7,236.1,20.5,0,0
59,28,2,2016,27.5,81.5,22,72.9,1013.9,200.3,210.2,20.5,0,0
60,29,2,2016,27.7,81.86,21.4,69.6,1013.9,200.3,242.6,18.4,100,1
61,1,3,2016,28.6,83.48,20.5,62.9,1011.8,148.8,238.4,20.5,100,1
62,2,3,2016,29.5,85.1,21.5,63.5,1012.5,170.4,243.7,20.5,100,1
63,3,3,2016,30.8,87.44,19.4,52.6,1013.4,173.7,232.2,18.4,100,1
64,4,3,2016,28.8,83.84,18,52.9,1012.7,128,246.3,18.4,100,1
65,5,3,2016,28.8,83.84,18.4,55.6,1011.1,225.3,277.9,20.5,0,0
66,6,3,2016,27.8,82.04,18,57.5,1011.4,183,278.8,20.5,0,0
67,7,3,2016,28,82.4,17.3,53.9,1010.5,225.1,286.3,20.5,0,0
68,8,3,2016,29.3,84.74,15.9,46.9,1009.9,188.4,279.3,18.4,0,0
69,9,3,2016,29.1,84.38,17,49.3,1010.7,259.9,278.9,24.1,0,0
70,10,3,2016,29.3,84.74,17.6,51.6,1011.1,277,290.5,22.3,0,0
71,11,3,2016,29.7,85.46,20.3,59.7,1011.2,238.5,273.3,18.4,100,1
72,12,3,2016,28,82.4,19.9,62.6,1011.3,233,273.6,22.3,0,0
73,13,3,2016,27,80.6,20.6,69.1,1012.7,296.2,291.7,18.4,0,0
